team,normalized_score,raw_score,games_processed,wins,losses
Hartwick,-1.75,-14.0,8,3,5
Lakeland,-1.75,-14.0,8,2,6
Pacific (OR),-1.75,-14.0,8,3,5
Bluefield State,-1.7777777777777777,-16.0,9,3,6
Washburn,-1.7777777777777777,-16.0,9,2,7
Morehouse College,-1.7777777777777777,-16.0,9,3,6
Long Island University,-1.7777777777777777,-16.0,9,3,6
LYONCOLL,-1.8571428571428572,-13.0,7,2,5
Millikin,-1.875,-15.0,8,2,6
Bowdoin,-1.875,-15.0,8,2,6
Westminster College (MO),-1.875,-15.0,8,3,5
Rhodes College,-1.875,-15.0,8,1,7
Nebraska Wesleyan,-1.875,-15.0,8,1,7
Fitchburg State,-1.875,-15.0,8,3,5
Southwest Baptist,-1.875,-15.0,8,3,5
Central State (OH),-1.9,-19.0,10,3,7
Miles College,-2.0,-20.0,10,3,7
Northern Iowa,-2.0,-18.0,9,2,7
Hamline University,-2.0,-16.0,8,1,7
Midwestern State,-2.0,-18.0,9,2,7
Arkansas-Monticello,-2.0,-18.0,9,2,7
Post University,-2.0,-16.0,8,3,5
Southern Oregon,-2.0,-2.0,1,0,0
Oklahoma Baptist,-2.0,-18.0,9,2,7
Saint Xavier (IL),-2.0,-2.0,1,0,0
Northern Michigan,-2.111111111111111,-19.0,9,1,8
Wilson,-2.111111111111111,-19.0,9,2,7
Gannon,-2.111111111111111,-19.0,9,1,8
Shaw,-2.111111111111111,-19.0,9,2,7
Oklahoma State,-2.111111111111111,-19.0,9,1,8
Southern Connecticut State,-2.125,-17.0,8,2,6
Castleton,-2.125,-17.0,8,2,6
Charlotte,-2.125,-17.0,8,1,7
St. Lawrence,-2.125,-17.0,8,2,6
Buena Vista,-2.125,-17.0,8,2,6
UTEP,-2.125,-17.0,8,2,6
McDaniel College,-2.125,-17.0,8,1,7
Southwest Minnesota State,-2.2222222222222223,-20.0,9,1,8
Eastern Illinois,-2.2222222222222223,-20.0,9,3,6
Wayne State (MI),-2.2222222222222223,-20.0,9,0,9
Concord University,-2.2222222222222223,-20.0,9,3,6
Clark Atlanta,-2.2222222222222223,-20.0,9,2,7
South Alabama,-2.2222222222222223,-20.0,9,2,7
Westfield State,-2.25,-18.0,8,2,6
Worcester St,-2.25,-18.0,8,2,6
Lake Erie,-2.3333333333333335,-21.0,9,1,8
Shippensburg,-2.3333333333333335,-21.0,9,2,7
Ferrum,-2.3333333333333335,-21.0,9,3,6
Bowie State,-2.3333333333333335,-21.0,9,2,7
Wagner,-2.3333333333333335,-21.0,9,3,6
